Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,18818.580078,18951.119141,18394.429688,18450.980469,18450.980469,140200
2016-01-05,18398.759766,18547.380859,18327.519531,18374.000000,18374.000000,132300
2016-01-06,18410.570313,18469.380859,18064.300781,18191.320313,18191.320313,142200
2016-01-07,18139.769531,18172.039063,17767.339844,17767.339844,17767.339844,168000
2016-01-08,17562.230469,17975.310547,17509.640625,17697.960938,17697.960938,184300
2016-01-12,17470.929688,17546.570313,17184.779297,17218.960938,17218.960938,178400
2016-01-13,17449.119141,17717.750000,17414.550781,17715.630859,17715.630859,145900
2016-01-14,17384.929688,17393.830078,16944.410156,17240.949219,17240.949219,178300
2016-01-15,17522.460938,17597.869141,17057.599609,17147.109375,17147.109375,173000
2016-01-18,16826.929688,17037.259766,16665.050781,16955.570313,16955.570313,157200
2016-01-19,16902.289063,17088.310547,16812.650391,17048.369141,17048.369141,154200
2016-01-20,17030.279297,17031.320313,16387.609375,16416.189453,16416.189453,177800
2016-01-21,16466.859375,16734.580078,16017.259766,16017.259766,16017.259766,228200
2016-01-22,16336.719727,16993.960938,16332.450195,16958.529297,16958.529297,186800
2016-01-25,17145.810547,17208.240234,16922.210938,17110.910156,17110.910156,157000
2016-01-26,16833.130859,16839.519531,16652.259766,16708.900391,16708.900391,147000
2016-01-27,16949.189453,17242.269531,16947.949219,17163.919922,17163.919922,155000
2016-01-28,17059.839844,17235.439453,16942.130859,17041.449219,17041.449219,140900
2016-01-29,17155.060547,17638.929688,16767.089844,17518.300781,17518.300781,294400
2016-02-01,17699.599609,17905.369141,17666.480469,17865.230469,17865.230469,245000
2016-02-02,17716.519531,17864.699219,17684.660156,17750.679688,17750.679688,200800
2016-02-03,17497.410156,17515.679688,17080.570313,17191.250000,17191.250000,228500
2016-02-04,17071.109375,17209.560547,16941.880859,17044.990234,17044.990234,238800
2016-02-05,16790.529297,16893.119141,16627.800781,16819.589844,16819.589844,259900
2016-02-08,16620.910156,17099.009766,16552.300781,17004.300781,17004.300781,200100
2016-02-09,16666.789063,16668.699219,16025.940430,16085.440430,16085.440430,228200
2016-02-10,16127.860352,16163.030273,15429.990234,15713.389648,15713.389648,283500
2016-02-12,15426.269531,15437.219727,14865.769531,14952.610352,14952.610352,340500
2016-02-15,15248.379883,16155.099609,15243.879883,16022.580078,16022.580078,232200
2016-02-16,15849.469727,16341.559570,15809.580078,16054.429688,16054.429688,224900
2016-02-17,16035.349609,16214.459961,15632.120117,15836.360352,15836.360352,204100
2016-02-18,16138.080078,16337.589844,16118.799805,16196.799805,16196.799805,187800
2016-02-19,16050.400391,16050.459961,15799.349609,15967.169922,15967.169922,161700
2016-02-22,15851.389648,16187.400391,15816.830078,16111.049805,16111.049805,139800
2016-02-23,16230.379883,16350.379883,16001.190430,16052.049805,16052.049805,165200
2016-02-24,15851.129883,16006.450195,15753.769531,15915.790039,15915.790039,151600
2016-02-25,15983.469727,16218.290039,15953.929688,16140.339844,16140.339844,169800
2016-02-26,16311.519531,16472.500000,16188.410156,16188.410156,16188.410156,147400
2016-02-29,16313.309570,16464.750000,16026.759766,16026.759766,16026.759766,164300
2016-03-01,16013.000000,16099.419922,15857.370117,16085.509766,16085.509766,152300
2016-03-02,16391.480469,16815.250000,16388.919922,16746.550781,16746.550781,175100
2016-03-03,16695.779297,16962.949219,16691.939453,16960.160156,16960.160156,201400
2016-03-04,16927.359375,17042.919922,16861.380859,17014.779297,17014.779297,183600
2016-03-07,17024.640625,17026.250000,16894.580078,16911.320313,16911.320313,159500
2016-03-08,16889.480469,16909.789063,16570.220703,16783.150391,16783.150391,182800
2016-03-09,16625.589844,16706.250000,16494.800781,16642.199219,16642.199219,160700
2016-03-10,16811.000000,16887.599609,16713.130859,16852.349609,16852.349609,135600
2016-03-11,16610.179688,17015.300781,16575.750000,16938.869141,16938.869141,198000
2016-03-14,17155.519531,17291.349609,17149.210938,17233.750000,17233.750000,140900
2016-03-15,17219.890625,17279.300781,17042.560547,17117.070313,17117.070313,144300
2016-03-16,16981.359375,17102.449219,16950.839844,16974.449219,16974.449219,126400
2016-03-17,17107.599609,17253.029297,16814.839844,16936.380859,16936.380859,152500
2016-03-18,16883.750000,16920.910156,16613.689453,16724.810547,16724.810547,155700
2016-03-22,16937.310547,17107.800781,16851.210938,17048.550781,17048.550781,136200
2016-03-23,17066.269531,17142.080078,16964.310547,17000.980469,17000.980469,104700
2016-03-24,16979.390625,17041.160156,16843.990234,16892.330078,16892.330078,142100
2016-03-25,16949.529297,17026.140625,16889.400391,17002.750000,17002.750000,126500
2016-03-28,17129.269531,17167.880859,16961.410156,17134.369141,17134.369141,123500
2016-03-29,16985.279297,17137.199219,16948.429688,17103.529297,17103.529297,117000
2016-03-30,17078.029297,17078.029297,16875.910156,16878.960938,16878.960938,131200
2016-03-31,16997.140625,17033.650391,16758.669922,16758.669922,16758.669922,157500
2016-04-01,16719.560547,16719.560547,16113.009766,16164.160156,16164.160156,178400
2016-04-04,16087.759766,16238.509766,16029.500000,16123.269531,16123.269531,144800
2016-04-05,16044.230469,16066.179688,15698.549805,15732.820313,15732.820313,158100
2016-04-06,15727.700195,15828.610352,15612.910156,15715.360352,15715.360352,150500
2016-04-07,15739.259766,15871.099609,15636.209961,15749.839844,15749.839844,146000
2016-04-08,15597.040039,16027.629883,15471.799805,15821.519531,15821.519531,176800
2016-04-11,15761.570313,15778.740234,15525.490234,15751.129883,15751.129883,129900
2016-04-12,15719.240234,15963.030273,15693.610352,15928.790039,15928.790039,147000
2016-04-13,16142.709961,16405.589844,16132.230469,16381.219727,16381.219727,158800
2016-04-14,16629.830078,16911.050781,16602.169922,16911.050781,16911.050781,175400
2016-04-15,16720.390625,16928.669922,16720.390625,16848.029297,16848.029297,133300
2016-04-18,16521.250000,16526.900391,16254.200195,16275.950195,16275.950195,140600
2016-04-19,16582.660156,16900.330078,16570.500000,16874.439453,16874.439453,145700
2016-04-20,17053.830078,17099.359375,16870.730469,16906.539063,16906.539063,143900
2016-04-21,17187.269531,17381.699219,17144.529297,17363.619141,17363.619141,165900
2016-04-22,17220.470703,17572.490234,17192.390625,17572.490234,17572.490234,228300
